Player,Shot,Stroke,Spin,Speed (MPH),Point,Game,Set,Shot Placement (x),Shot Placement (y),Racket Contact (x),Racket Contact (y),Racket Contact (z),Direction,Result
Roger Federer,745,Backhand,Topspin,65.217308,217,0,0,-2.813845,19.741943,-3.812257,-1.090486,0.966275,down the line,In
Juan Potro,746,Serve,Slice,77.463249,218,0,0,3.117923,6.158151,-0.282822,22.979929,2.58819,out wide,In
Roger Federer,747,Forehand,Flat,57.222942,218,0,0,-1.041728,17.389902,4.759645,-0.755349,0.86806,down the line,In
Juan Potro,748,Forehand,Topspin,63.404541,218,0,0,1.997157,1.003089,-1.702237,23.069853,0.628137,cross court,In
Roger Federer,749,Forehand,Flat,56.877594,218,0,0,-1.467119,11.328128,2.457497,-1.270719,0.484883,down the line,Net
Juan Potro,750,Serve,Flat,92.155533,219,0,0,-3.924507,5.516808,0.638466,24.04994,2.468077,out wide,In
Juan Potro,751,Serve,Flat,88.990135,220,0,0,-2.591881,5.41198,0.225154,23.616947,2.473053,out wide,Out
Roger Federer,752,Backhand,Slice,34.177921,220,0,0,0.231391,15.569716,-5.016311,-0.52171,0.928529,down the line,In
Juan Potro,753,Forehand,Flat,29.929502,220,0,0,-2.224903,7.67979,0.681727,20.952459,0.882878,inside out,In
Roger Federer,754,Backhand,Slice,32.163921,220,0,0,-3.568748,16.611694,-3.075098,5.952183,0.439711,down the line,In
Juan Potro,755,Forehand,Topspin,61.649654,220,0,0,-1.101474,13.312666,-3.706869,18.270113,0.307852,cross court,Net
Juan Potro,756,Serve,Flat,94.737144,221,0,0,0.179042,6.041637,-0.388945,22.814539,2.416815,down the T,In
Roger Federer,757,Backhand,Slice,42.02203,221,0,0,0.903445,19.426559,0.879536,-1.454138,0.756696,inside in,In
Juan Potro,758,Forehand,Slice,33.156635,221,0,0,-3.100992,6.812149,0.976348,24.194185,0.873321,inside out,In
Juan Potro,759,Serve,Flat,95.987648,222,0,0,-2.552971,3.268579,0.678484,22.886486,2.535207,down the T,Out
Roger Federer,760,Backhand,Flat,53.198338,222,0,0,1.342323,17.967373,-3.833236,-1.166688,0.713612,cross court,In
